Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Info,Coord_rad
Palais Renaissance,"390 Orchard Road, S(238871)","\$3.85 for 1st hr, \$1.95 for subsequent 30min from 7.01am to 5pm","\$4.60/entry from 5.01pm to 1am the following day, \$1.80/hr from 1.01am to 7am",Charges same as Weekdays,"\$4.60/4hr from 7.01am to 1am the following day, \$1.80/hr from 1.01am to 7am","<b>Carpark: </b>Palais Renaissance
<b>Address: </b>390 Orchard Road, S(238871)
<b>Mon-Fri before 5/6pm: </b>\$3.85 for 1st hr, \$1.95 for subsequent 30min from 7.01am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$4.60/entry from 5.01pm to 1am the following day, \$1.80/hr from 1.01am to 7am
<b>Sat: </b>Charges same as Weekdays
<b>Sun/ Public Holiday: </b>\$4.60/4hr from 7.01am to 1am the following day, \$1.80/hr from 1.01am to 7am","(0.02280868174071372, 1.8121677212942471)"
Pan Pacific Hotel,"7 Raffles Boulevard, S(039595)","\$2.20 for 1st 2hr, \$1.10/30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","<b>Carpark: </b>Pan Pacific Hotel
<b>Address: </b>7 Raffles Boulevard, S(039595)
<b>Mon-Fri before 5/6pm: </b>\$2.20 for 1st 2hr, \$1.10/30min from 7am to 5pm from Mon to Thurs
<b>Mon-Fri after 5/6pm: </b>\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs
<b>Sat: </b>\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun
<b>Sun/ Public Holiday: </b>\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","(0.022554978935314576, 1.8126744200466984)"
PoMo,"1 Selegie Road, S(188306)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5.59pm",\$3.50/entry from 6pm to 6.59am the following day,Charges same as weekdays,\$3.50/entry from 7am to 6.59am the following day,"<b>Carpark: </b>PoMo
<b>Address: </b>1 Selegie Road, S(188306)
<b>Mon-Fri before 5/6pm: </b>\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$3.50/entry from 6pm to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.50/entry from 7am to 6.59am the following day","(0.022693008299208544, 1.8125098442248817)"
Paragon,"290 Orchard Road, S(238859)","\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6.59pm",\$4.50/entry from 7pm to 2.59am the following day,Charges same as weekdays,"\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm, \$4.50/entry from 6pm to 2.59am the following day","<b>Carpark: </b>Paragon
<b>Address: </b>290 Orchard Road, S(238859)
<b>Mon-Fri before 5/6pm: </b>\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6.59pm
<b>Mon-Fri after 5/6pm: </b>\$4.50/entry from 7pm to 2.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm, \$4.50/entry from 6pm to 2.59am the following day","(0.022757807138347338, 1.8122729437041913)"
Paramount Hotel,"25 Marine Parade, S(449536)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Paramount Hotel
<b>Address: </b>25 Marine Parade, S(449536)
<b>Mon-Fri before 5/6pm: </b>\$1.07/hr from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$1.07/hr from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022755616750136081, 1.8134485486191156)"
Paramount Shopping Centre,"30 East Coast Road, S(428751)",\$0.50/30min,\$2.00/entry,\$2.00/entry,\$2.00/entry,"<b>Carpark: </b>Paramount Shopping Centre
<b>Address: </b>30 East Coast Road, S(428751)
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min
<b>Mon-Fri after 5/6pm: </b>\$2.00/entry
<b>Sat: </b>\$2.00/entry
<b>Sun/ Public Holiday: </b>\$2.00/entry","(0.022755389857333327, 1.8134486603201878)"
Bugis Junction,"200 Victoria Street, S(180021)","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm","\$2.70/entry from 5pm to 8am the following day from Mon to Thurs, \$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 5pm to 8am the following day on Fri","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","<b>Carpark: </b>Bugis Junction
<b>Address: </b>200 Victoria Street, S(180021)
<b>Mon-Fri before 5/6pm: </b>\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.70/entry from 5pm to 8am the following day from Mon to Thurs, \$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 5pm to 8am the following day on Fri
<b>Sat: </b>\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day
<b>Sun/ Public Holiday: </b>\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","(0.022682278014967285, 1.8126235297363689)"
Parklane,"35 Selegie Road, S(188307)","\$3.20 for 1st hr, \$1.60 for next subsequent 30min from 7am to 7pm",\$3.75/entry from 7pm to 12midnight. Additional Overnight Charge at \$3.75/entry from 12midnight to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 12midnight,"<b>Carpark: </b>Parklane
<b>Address: </b>35 Selegie Road, S(188307)
<b>Mon-Fri before 5/6pm: </b>\$3.20 for 1st hr, \$1.60 for next subsequent 30min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$3.75/entry from 7pm to 12midnight. Additional Overnight Charge at \$3.75/entry from 12midnight to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.75/entry from 7am to 12midnight","(0.022701354463691582, 1.8125130189787908)"
Parkview Square,"600 North Bridge Road, S(188778)","\$2.14/hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$5.35/4hr from 5pm to 7am the following day,Charges same as weekdays but \$5.35/4hr from 1pm to 7am the following day,\$5.35/4hr from 7am to 7am the following day,"<b>Carpark: </b>Parkview Square
<b>Address: </b>600 North Bridge Road, S(188778)
<b>Mon-Fri before 5/6pm: </b>\$2.14/hr, \$1.07 for next subsequent 30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$5.35/4hr from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays but \$5.35/4hr from 1pm to 7am the following day
<b>Sun/ Public Holiday: </b>\$5.35/4hr from 7am to 7am the following day","(0.022692142615899556, 1.8126592042662795)"
Parkway Parade,"80 Marine Parade Road, S(449269)","\$1.00 for 1st hr, \$0.40 for subsequent 30min from 2am to 6pm",\$1.50/entry from 6pm to 2am the following day,"\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 2am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day","\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 2am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day","<b>Carpark: </b>Parkway Parade
<b>Address: </b>80 Marine Parade Road, S(449269)
<b>Mon-Fri before 5/6pm: </b>\$1.00 for 1st hr, \$0.40 for subsequent 30min from 2am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$1.50/entry from 6pm to 2am the following day
<b>Sat: </b>\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 2am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day
<b>Sun/ Public Holiday: </b>\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 2am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day","(0.022713859747782117, 1.81348937187032)"
New Parliament House,"1 Parliament Place, S(178880)",\$1.13/30min from 8.01am to 6pm,\$2.06/entry from 6.01pm to 8am the following day,Charges same as weekdays,\$2.06/entry from 8am to 7.59am the following day,"<b>Carpark: </b>New Parliament House
<b>Address: </b>1 Parliament Place, S(178880)
<b>Mon-Fri before 5/6pm: </b>\$1.13/30min from 8.01am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.06/entry from 6.01pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.06/entry from 8am to 7.59am the following day","(0.022498814239985395, 1.8125390418379381)"
Eunos Technolink,"3 Kaki Bukit Road 1, S(415935)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Eunos Technolink
<b>Address: </b>3 Kaki Bukit Road 1, S(415935)
<b>Mon-Fri before 5/6pm: </b>\$1.07/hr from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$1.07/hr from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023294007191145036, 1.8134253549386858)"
Peace Centre,"1 Sophia Road, S(228149)",\$1.39/30min from 7am to 7pm,\$1.50/30min from 7pm to 7am the following day,"\$1.39/30min from 7am to 7pm, \$4.28/entry from 7pm to 7am the following day",\$4.28/entry from 7am to 7am the following day,"<b>Carpark: </b>Peace Centre
<b>Address: </b>1 Sophia Road, S(228149)
<b>Mon-Fri before 5/6pm: </b>\$1.39/30min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$1.50/30min from 7pm to 7am the following day
<b>Sat: </b>\$1.39/30min from 7am to 7pm, \$4.28/entry from 7pm to 7am the following day
<b>Sun/ Public Holiday: </b>\$4.28/entry from 7am to 7am the following day","(0.022712480937673044, 1.8125103276810843)"
Peninsula Excelsior Hotel,"5 Coleman Street, S(179805)","\$3.00 for 1st hr, \$1.80 for next subsequent 30min from 8am to 5pm",\$4.00/entry from 5pm to 8am the following day,Charges same as weekdays,"\$1.50/hr from 8am to 5pm, \$4.00/entry from 5pm to 8am the following day","<b>Carpark: </b>Peninsula Excelsior Hotel
<b>Address: </b>5 Coleman Street, S(179805)
<b>Mon-Fri before 5/6pm: </b>\$3.00 for 1st hr, \$1.80 for next subsequent 30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$4.00/entry from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$1.50/hr from 8am to 5pm, \$4.00/entry from 5pm to 8am the following day","(0.022549920971142296, 1.8125220161510849)"
Peninsula Hotel,"3 Coleman Street, S(179804)","\$2.60 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/hr from 8am to 8am the following day,"<b>Carpark: </b>Peninsula Hotel
<b>Address: </b>3 Coleman Street, S(179804)
<b>Mon-Fri before 5/6pm: </b>\$2.60 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$1.50/hr from 8am to 8am the following day","(0.022547629353834427, 1.8125253305313345)"
Singapore Marriott Hotel,"320 Orchard Road, S(238865)","\$3.00 for 1st hr, \$0.05/min from 6am to 6pm","\$3.00 for 1st hr, \$0.05/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Singapore Marriott Hotel
<b>Address: </b>320 Orchard Road, S(238865)
<b>Mon-Fri before 5/6pm: </b>\$3.00 for 1st hr, \$0.05/min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.00 for 1st hr, \$0.05/min from 6pm to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022775295337452321, 1.8122301395042864)"
Mediacorp,"Andrew Road, S(299939)",\$1.07/hr up to a maximum charge of \$6.42/day from 7am to 6pm,\$2.14/entry from 6pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Mediacorp
<b>Address: </b>Andrew Road, S(299939)
<b>Mon-Fri before 5/6pm: </b>\$1.07/hr up to a maximum charge of \$6.42/day from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.14/entry from 6pm to 7.00am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023325215423499947, 1.8122319982799397)"
Mandarin Gallery,"330 Orchard Road, S(238867)","\$3.60 for 1st hr, \$0.06 for next subsequent min from 6am to 6pm","\$3.60 for 1st hr, \$0.04/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Mandarin Gallery
<b>Address: </b>330 Orchard Road, S(238867)
<b>Mon-Fri before 5/6pm: </b>\$3.60 for 1st hr, \$0.06 for next subsequent min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.60 for 1st hr, \$0.04/min from 6pm to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.0227506861949992, 1.8122579617978922)"
Midpoint Orchard,"220 Orchard Road, S(238852)",No Car Park,No Car Park,No Car Park,No Car Park,"<b>Carpark: </b>Midpoint Orchard
<b>Address: </b>220 Orchard Road, S(238852)
<b>Mon-Fri before 5/6pm: </b>No Car Park
<b>Mon-Fri after 5/6pm: </b>No Car Park
<b>Sat: </b>No Car Park
<b>Sun/ Public Holiday: </b>No Car Park","(0.022719135878110901, 1.8123277644959963)"
Millenia Walk (Surface Car Park),"9 Raffles Boulevard, S(039596)","\$4.40 for 1st hr, \$1.65 for subsequent 30min from 7am to 6pm","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 6pm to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day","<b>Carpark: </b>Millenia Walk (Surface Car Park)
<b>Address: </b>9 Raffles Boulevard, S(039596)
<b>Mon-Fri before 5/6pm: </b>\$4.40 for 1st hr, \$1.65 for subsequent 30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 6pm to 7am the following day
<b>Sat: </b>\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day
<b>Sun/ Public Holiday: </b>\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day","(0.02256238087667228, 1.8126885065990914)"
Miramar Hotel,"401 Havelock Road, S(169631)","\$2.68 for 1st hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$3.75/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day,"<b>Carpark: </b>Miramar Hotel
<b>Address: </b>401 Havelock Road, S(169631)
<b>Mon-Fri before 5/6pm: </b>\$2.68 for 1st hr, \$1.07 for next subsequent 30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.75/entry from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.75/entry from 7am to 7am the following day","(0.022485425819293348, 1.8123053684310351)"
Mount Alvernia Hospital,"820 Thomson Road, S(574623)","\$2.40 for 1st hr, \$1.30 for next subsequent 30min from 7am to 10pm",\$5.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Mount Alvernia Hospital
<b>Address: </b>820 Thomson Road, S(574623)
<b>Mon-Fri before 5/6pm: </b>\$2.40 for 1st hr, \$1.30 for next subsequent 30min from 7am to 10pm
<b>Mon-Fri after 5/6pm: </b>\$5.00/entry from 10pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023420718094839824, 1.8123141997970502)"
Mount Elizabeth Hospital,"3 Mount Elizabeth, S(228510)","\$2.50/30min from 6.30am to 8am, \$3.30/30min from 8am to 11am, \$3.00/30min from 11am to 6.30pm",\$4.00/entry from 6.30pm to 6.30am,Charges same as weekdays,\$4.00/entry from 6.30am to 6.30am the following day,"<b>Carpark: </b>Mount Elizabeth Hospital
<b>Address: </b>3 Mount Elizabeth, S(228510)
<b>Mon-Fri before 5/6pm: </b>\$2.50/30min from 6.30am to 8am, \$3.30/30min from 8am to 11am, \$3.00/30min from 11am to 6.30pm
<b>Mon-Fri after 5/6pm: </b>\$4.00/entry from 6.30pm to 6.30am
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$4.00/entry from 6.30am to 6.30am the following day","(0.022777407185847233, 1.8122701057988275)"
Mustafa Centre,"145 Syed Alwi Road, S(207704)","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Mustafa Centre
<b>Address: </b>145 Syed Alwi Road, S(207704)
<b>Mon-Fri before 5/6pm: </b>1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day
<b>Mon-Fri after 5/6pm: </b>1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022865377016135502, 1.8126180825637732)"
Nanyang Academy Of Fine Arts (NAFA),"80 Bencoolen Street, S(189655)",\$1.07/30min from 7am to 9.59pm,\$2.14/entry from 10pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Nanyang Academy Of Fine Arts (NAFA)
<b>Address: </b>80 Bencoolen Street, S(189655)
<b>Mon-Fri before 5/6pm: </b>\$1.07/30min from 7am to 9.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.14/entry from 10pm to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022685946697054975, 1.8125463809474427)"
International Plaza,"10 Anson Road, S(079903)",\$2.20/30min from 7am to 5pm,\$3.00/entry from 5pm to 7am the following day,"\$2.20/30min from 7am to 3pm, \$3.00/entry after 3pm to 7am the following day",\$3.00/entry from 7am to 7am the following day,"<b>Carpark: </b>International Plaza
<b>Address: </b>10 Anson Road, S(079903)
<b>Mon-Fri before 5/6pm: </b>\$2.20/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 5pm to 7am the following day
<b>Sat: </b>\$2.20/30min from 7am to 3pm, \$3.00/entry after 3pm to 7am the following day
<b>Sun/ Public Holiday: </b>\$3.00/entry from 7am to 7am the following day","(0.022265161777033159, 1.8124512954097942)"
Jelita Cold Storage,"293 Holland Road, S(278628)","1st hr free, \$1.60/hr for next subsequent hr onwards","1st hr free, \$1.60/hr for next subsequent hr onwards",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Jelita Cold Storage
<b>Address: </b>293 Holland Road, S(278628)
<b>Mon-Fri before 5/6pm: </b>1st hr free, \$1.60/hr for next subsequent hr onwards
<b>Mon-Fri after 5/6pm: </b>1st hr free, \$1.60/hr for next subsequent hr onwards
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022995819433771058, 1.8114053230797327)"
